annee,pays,sejours,nuitees,duree_sejour,repeaters,depense_jour_personne,satisfaction_globale,nps,transport_avion,transport_train,transport_route,motif_personnel,is_covid,repeaters_pct,satisfaction_globale_pct,transport_avion_pct,transport_train_pct,transport_route_pct,motif_personnel_pct,sejours_millions
2014,ATR 2014 - République Tchèque,2431.2645390177,5824.42427482,,,,,,,,,,False,,,,,,,0.0024312645390177
2014,ATR 2014 - Roumanie,21747.0710387709,35900.7777479802,,,,,,,,,,False,,,,,,,0.0217470710387709
2014,ATR 2014 - Royaume-Uni,2088035.6639629467,6567765.879237499,3.14542801762894,0.6166326,147.4747625,0.949531,37.53714,0.3489594,0.3954002,0.2556405,0.7960926,False,61.663259999999994,94.9531,34.895939999999996,39.54002,25.564049999999998,79.60926,2.088035663962947
2014,ATR 2014 - Russie,398525.2575926934,2283676.4384293,5.730317953305977,0.4749186,182.7272664,0.9475888,52.86932,0.9470361,0.0499891,0.0029748,0.81293,False,47.49186,94.75888,94.70361,4.99891,0.29748,81.293,0.39852525759269336
2014,ATR 2014 - Suède,4263.2884868271,17053.1539473082,,,,,,,,,,False,,,,,,,0.0042632884868271
2014,ATR 2014 - Suisse,526163.8497776259,1925063.2156335216,3.65867631622187,0.7512353,130.9379126,0.9308693,45.62275,0.3284961,0.3939775,0.2775264,0.7215458,False,75.12353,93.08693,32.84961,39.397749999999995,27.75264,72.15458,0.5261638497776259
2014,ATR 2014 - Finlande,1799.8505441074,3599.7010882148,,,,,,,,,,False,,,,,,,0.0017998505441074002
2014,ATR 2014 - Turquie,9632.8022230228,20058.6339408729,,,,,,,,,,False,,,,,,,0.0096328022230228
2014,ATR 2014 - Afrique du Sud,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Arabie Saoudite,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Argentine,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Autriche,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Chili,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Colombie,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Emirats Arabes Unis,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Indonésie,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Iran,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Israël,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Tunisie,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Algérie,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Maroc,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Malaisie,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Egypte,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Norvège,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Nouvelle-Zélande,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Pays Baltes,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Philippines,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Qatar,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Singapour,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Thaïlande,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Ukraine,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2014,ATR 2014 - Viet Nam,0.0,0.0,,,,,,,,,,False,,,,,,,0.0
2015,ATR 2015,47024971.27799479,173545351.86551732,3.690493521826507,0.7953145,120.8095542,0.9325905,28.29708,0.335692,0.2610599,0.403248,0.660199,False,79.53145,93.25905,33.5692,26.105990000000002,40.324799999999996,66.01989999999999,47.02497127799479
